SubCategory,Month,Value Column Name,Value
"Air Conditioners","Jan","Sales","33836"
"Air Conditioners","Jan","Margin","19481"
"Air Conditioners","Jan","Margin %","57.57477243172952"
"Air Conditioners","Jan","Total Customers","31"
"Air Conditioners","Feb","Sales","22834"
"Air Conditioners","Feb","Margin","12127"
"Air Conditioners","Feb","Margin %","53.10939826574407"
"Air Conditioners","Feb","Total Customers","24"
"Air Conditioners","Mar","Sales","5550"
"Air Conditioners","Mar","Margin","1632"
"Air Conditioners","Mar","Margin %","29.405405405405407"
"Air Conditioners","Mar","Total Customers","9"
"Air Conditioners","Apr","Sales","11610"
"Air Conditioners","Apr","Margin","5736"
"Air Conditioners","Apr","Margin %","49.405684754521964"
"Air Conditioners","Apr","Total Customers","12"
"Air Conditioners","May","Sales","4142"
"Air Conditioners","May","Margin","1277"
"Air Conditioners","May","Margin %","30.830516658619025"
"Air Conditioners","May","Total Customers","6"
"Air Conditioners","Jun","Sales","7080"
"Air Conditioners","Jun","Margin","4716"
"Air Conditioners","Jun","Margin %","66.61016949152543"
"Air Conditioners","Jun","Total Customers","7"
"Air Conditioners","Jul","Sales","12650"
"Air Conditioners","Jul","Margin","6845"
"Air Conditioners","Jul","Margin %","54.11067193675889"
"Air Conditioners","Jul","Total Customers","13"
"Air Conditioners","Aug","Sales","17382"
"Air Conditioners","Aug","Margin","9306"
"Air Conditioners","Aug","Margin %","53.53814290645495"
"Air Conditioners","Aug","Total Customers","16"
"Air Conditioners","Sep","Sales","52192"
"Air Conditioners","Sep","Margin","31576"
"Air Conditioners","Sep","Margin %","60.499693439607604"
"Air Conditioners","Sep","Total Customers","39"
"Air Conditioners","Oct","Sales","27658"
"Air Conditioners","Oct","Margin","14374"
"Air Conditioners","Oct","Margin %","51.97049678212452"
"Air Conditioners","Oct","Total Customers","27"
"Air Conditioners","Nov","Sales","31268"
"Air Conditioners","Nov","Margin","17156"
"Air Conditioners","Nov","Margin %","54.867596264551615"
"Air Conditioners","Nov","Total Customers","29"
"Air Conditioners","Dec","Sales","26516"
"Air Conditioners","Dec","Margin","13598"
"Air Conditioners","Dec","Margin %","51.282244682455875"
"Air Conditioners","Dec","Total Customers","24"
"Coffee Machines","Jan","Sales","48434"
"Coffee Machines","Jan","Margin","-8498.5"
"Coffee Machines","Jan","Margin %","-17.546558202915307"
"Coffee Machines","Jan","Total Customers","35"
"Coffee Machines","Feb","Sales","21397"
"Coffee Machines","Feb","Margin","-7913"
"Coffee Machines","Feb","Margin %","-36.98181988129177"
"Coffee Machines","Feb","Total Customers","23"
"Coffee Machines","Mar","Sales","39174"
"Coffee Machines","Mar","Margin","-4498.5"
"Coffee Machines","Mar","Margin %","-11.483381834890489"
"Coffee Machines","Mar","Total Customers","20"
"Coffee Machines","Apr","Sales","4123"
"Coffee Machines","Apr","Margin","-2147"
"Coffee Machines","Apr","Margin %","-52.07373271889401"
"Coffee Machines","Apr","Total Customers","8"
"Coffee Machines","May","Sales","18574"
"Coffee Machines","May","Margin","1781.5"
"Coffee Machines","May","Margin %","9.591364272639174"
"Coffee Machines","May","Total Customers","13"
"Coffee Machines","Jun","Sales","30156"
"Coffee Machines","Jun","Margin","2511"
"Coffee Machines","Jun","Margin %","8.326701153999204"
"Coffee Machines","Jun","Total Customers","15"
"Coffee Machines","Jul","Sales","22407"
"Coffee Machines","Jul","Margin","-5170.5"
"Coffee Machines","Jul","Margin %","-23.075378230017407"
"Coffee Machines","Jul","Total Customers","18"
"Coffee Machines","Aug","Sales","52098"
"Coffee Machines","Aug","Margin","1570.5"
"Coffee Machines","Aug","Margin %","3.0145111136703906"
"Coffee Machines","Aug","Total Customers","24"
"Coffee Machines","Sep","Sales","49870"
"Coffee Machines","Sep","Margin","-3560"
"Coffee Machines","Sep","Margin %","-7.138560256667335"
"Coffee Machines","Sep","Total Customers","37"
"Coffee Machines","Oct","Sales","91025"
"Coffee Machines","Oct","Margin","9147.5"
"Coffee Machines","Oct","Margin %","10.04943696786597"
"Coffee Machines","Oct","Total Customers","43"
"Coffee Machines","Nov","Sales","60248"
"Coffee Machines","Nov","Margin","5423"
"Coffee Machines","Nov","Margin %","9.001128668171557"
"Coffee Machines","Nov","Total Customers","37"
"Coffee Machines","Dec","Sales","38372"
"Coffee Machines","Dec","Margin","204.5"
"Coffee Machines","Dec","Margin %","0.5329406859168143"
"Coffee Machines","Dec","Total Customers","22"
"Computers Accessories","Jan","Sales","16922"
"Computers Accessories","Jan","Margin","-3926"
"Computers Accessories","Jan","Margin %","-23.200567308828745"
"Computers Accessories","Jan","Total Customers","118"
"Computers Accessories","Feb","Sales","12142"
"Computers Accessories","Feb","Margin","-1730"
"Computers Accessories","Feb","Margin %","-14.248064569263713"
"Computers Accessories","Feb","Total Customers","82"
"Computers Accessories","Mar","Sales","7863"
"Computers Accessories","Mar","Margin","-481"
"Computers Accessories","Mar","Margin %","-6.117258044003561"
"Computers Accessories","Mar","Total Customers","48"
"Computers Accessories","Apr","Sales","8214"
"Computers Accessories","Apr","Margin","-1058"
"Computers Accessories","Apr","Margin %","-12.88044801558315"
"Computers Accessories","Apr","Total Customers","49"
"Computers Accessories","May","Sales","4934"
"Computers Accessories","May","Margin","-618"
"Computers Accessories","May","Margin %","-12.525334414268341"
"Computers Accessories","May","Total Customers","33"
"Computers Accessories","Jun","Sales","2905"
"Computers Accessories","Jun","Margin","-1351"
"Computers Accessories","Jun","Margin %","-46.506024096385545"
"Computers Accessories","Jun","Total Customers","33"
"Computers Accessories","Jul","Sales","8840"
"Computers Accessories","Jul","Margin","-2112"
"Computers Accessories","Jul","Margin %","-23.891402714932127"
"Computers Accessories","Jul","Total Customers","62"
"Computers Accessories","Aug","Sales","9355"
"Computers Accessories","Aug","Margin","-1213"
