SubCategory,Value Column Name,Value
"Air Conditioners","Margin","22743"
"Air Conditioners","Margin %","49.88156336360047"
"Air Conditioners","Rank LY","12"
"Air Conditioners","Revenue LM","45594"
"Air Conditioners","Rank LM","10"
"Air Conditioners","Total Cost LM","22851"
"Air Conditioners","Total Customers LM","36"
"Air Conditioners","Revenue LMLY","8114"
"Coffee Machines","Margin","-14123"
"Coffee Machines","Margin %","-19.030614994879535"
"Coffee Machines","Rank LY","4"
"Coffee Machines","Revenue LM","74212"
"Coffee Machines","Rank LM","5"
"Coffee Machines","Total Cost LM","88335"
"Coffee Machines","Total Customers LM","50"
"Coffee Machines","Revenue LMLY","16068"
"Computers Accessories","Margin","-3167"
"Computers Accessories","Margin %","-13.306163606571152"
"Computers Accessories","Rank LY","11"
"Computers Accessories","Revenue LM","23801"
"Computers Accessories","Rank LM","13"
"Computers Accessories","Total Cost LM","26968"
"Computers Accessories","Total Customers LM","155"
"Computers Accessories","Revenue LMLY","34460"
"Desktops","Margin","4717"
"Desktops","Margin %","9.754937441836418"
"Desktops","Rank LY","9"
"Desktops","Revenue LM","48355"
"Desktops","Rank LM","8"
"Desktops","Total Cost LM","43638"
"Desktops","Total Customers LM","37"
"Desktops","Revenue LMLY","90691"
"Fans","Margin","-4611"
"Fans","Margin %","-30.981656924007257"
"Fans","Rank LY","14"
"Fans","Revenue LM","14883"
"Fans","Rank LM","14"
"Fans","Total Cost LM","19494"
"Fans","Total Customers LM","40"
"Fans","Revenue LMLY","900"
"Lamps","Margin","48973"
"Lamps","Margin %","70.14279780575488"
"Lamps","Rank LY","13"
"Lamps","Revenue LM","69819"
"Lamps","Rank LM","6"
"Lamps","Total Cost LM","20846"
"Lamps","Total Customers LM","79"
"Lamps","Revenue LMLY","14418"
"Laptops","Margin","41112"
"Laptops","Margin %","32.138334297462514"
"Laptops","Rank LY","5"
"Laptops","Revenue LM","127922"
"Laptops","Rank LM","4"
"Laptops","Total Cost LM","86810"
"Laptops","Total Customers LM","73"
"Laptops","Revenue LMLY","156036"
"Microwaves","Margin","824"
"Microwaves","Margin %","1.9649457493740312"
"Microwaves","Rank LY","10"
"Microwaves","Revenue LM","41935"
"Microwaves","Rank LM","12"
"Microwaves","Total Cost LM","41111"
"Microwaves","Total Customers LM","57"
"Microwaves","Revenue LMLY","16197"
"Monitors","Margin","-3157"
"Monitors","Margin %","-4.561940956316922"
"Monitors","Rank LY","6"
"Monitors","Revenue LM","69203"
"Monitors","Rank LM","7"
"Monitors","Total Cost LM","72360"
"Monitors","Total Customers LM","73"
"Monitors","Revenue LMLY","90339"
"Printers, Scanners & Fax","Margin","-1659.5"
"Printers, Scanners & Fax","Margin %","-3.650221058883048"
"Printers, Scanners & Fax","Rank LY","7"
"Printers, Scanners & Fax","Revenue LM","45463"
"Printers, Scanners & Fax","Rank LM","11"
"Printers, Scanners & Fax","Total Cost LM","47122.5"
"Printers, Scanners & Fax","Total Customers LM","88"
"Printers, Scanners & Fax","Revenue LMLY","59350"
"Projectors & Screens","Margin","77294"
"Projectors & Screens","Margin %","30.405570197867906"
"Projectors & Screens","Rank LY","3"
"Projectors & Screens","Revenue LM","254210"
"Projectors & Screens","Rank LM","1"
"Projectors & Screens","Total Cost LM","176916"
"Projectors & Screens","Total Customers LM","81"
"Projectors & Screens","Revenue LMLY","252466"
"Refrigerators","Margin","-57275"
"Refrigerators","Margin %","-39.12093166217001"
"Refrigerators","Rank LY","2"
"Refrigerators","Revenue LM","146405"
"Refrigerators","Rank LM","3"
"Refrigerators","Total Cost LM","203680"
"Refrigerators","Total Customers LM","51"
"Refrigerators","Revenue LMLY","15149"
"Washers & Dryers","Margin","28501"
"Washers & Dryers","Margin %","12.1543073780454"
"Washers & Dryers","Rank LY","1"
"Washers & Dryers","Revenue LM","234493"
"Washers & Dryers","Rank LM","2"
"Washers & Dryers","Total Cost LM","205992"
"Washers & Dryers","Total Customers LM","37"
"Washers & Dryers","Revenue LMLY","70018"
"Water Heaters","Margin","2822"
"Water Heaters","Margin %","5.942804194920608"
"Water Heaters","Rank LY","8"
"Water Heaters","Revenue LM","47486"
"Water Heaters","Rank LM","9"
"Water Heaters","Total Cost LM","44664"
"Water Heaters","Total Customers LM","16"
"Water Heaters","Revenue LMLY","9750"
