SubCategory,Value Column Name,Value
"Segment B - Potential","Sales","2608415"
"Segment B - Potential","Margin","328943"
"Segment B - Potential","Margin %","46.99650026007235"
"Segment B - Potential","Margin %","0.12610838382696005"
"Segment B - Potential","Total Customers","958"
"Segment B - Potential","Sales","443343"
"Segment B - Potential","Margin","94593"
"Segment B - Potential","Margin %","21.336301689662406"
"Segment B - Potential","Margin %","0.21336301689662407"
"Segment B - Potential","Total Customers","152"
"Segment B - Potential","Sales","1579519"
"Segment B - Potential","Margin","196825"
"Segment B - Potential","Margin %","12.461072009896684"
"Segment B - Potential","Margin %","0.12461072009896684"
"Segment B - Potential","Total Customers","247"
"Segment B - Potential","Sales","319179"
"Segment B - Potential","Margin","14301"
"Segment B - Potential","Margin %","4.480557931442858"
"Segment B - Potential","Margin %","0.04480557931442858"
"Segment B - Potential","Total Customers","375"
"Segment B - Potential","Sales","266374"
"Segment B - Potential","Margin","23224"
"Segment B - Potential","Margin %","8.718568629070404"
"Segment B - Potential","Margin %","0.08718568629070404"
"Segment B - Potential","Total Customers","184"
"Segment C - Needs Attention","Sales","2283605"
"Segment C - Needs Attention","Margin","-418770.5"
"Segment C - Needs Attention","Margin %","-99.63954301772928"
"Segment C - Needs Attention","Margin %","-0.1833813203246621"
"Segment C - Needs Attention","Total Customers","2229"
"Segment C - Needs Attention","Sales","953483"
"Segment C - Needs Attention","Margin","-350567"
"Segment C - Needs Attention","Margin %","-36.7669900774319"
"Segment C - Needs Attention","Margin %","-0.367669900774319"
"Segment C - Needs Attention","Total Customers","331"
"Segment C - Needs Attention","Sales","219277"
"Segment C - Needs Attention","Margin","592"
"Segment C - Needs Attention","Margin %","0.26997815548370324"
"Segment C - Needs Attention","Margin %","0.0026997815548370327"
"Segment C - Needs Attention","Total Customers","379"
"Segment C - Needs Attention","Sales","423791"
"Segment C - Needs Attention","Margin","-769"
"Segment C - Needs Attention","Margin %","-0.1814573693164791"
"Segment C - Needs Attention","Margin %","-0.001814573693164791"
"Segment C - Needs Attention","Total Customers","327"
"Segment C - Needs Attention","Sales","83370"
"Segment C - Needs Attention","Margin","-38643"
"Segment C - Needs Attention","Margin %","-46.35120546959338"
"Segment C - Needs Attention","Margin %","-0.46351205469593376"
"Segment C - Needs Attention","Total Customers","287"
"Segment C - Needs Attention","Sales","127806"
"Segment C - Needs Attention","Margin","-18234"
"Segment C - Needs Attention","Margin %","-14.266935824609174"
"Segment C - Needs Attention","Margin %","-0.14266935824609173"
"Segment C - Needs Attention","Total Customers","654"
"Segment C - Needs Attention","Sales","475878"
"Segment C - Needs Attention","Margin","-11149.5"
"Segment C - Needs Attention","Margin %","-2.3429324322620504"
"Segment C - Needs Attention","Margin %","-0.023429324322620505"
"Segment C - Needs Attention","Total Customers","251"
"Segment A - Cash Cow","Sales","2364287"
"Segment A - Cash Cow","Margin","870557"
"Segment A - Cash Cow","Margin %","175.6501863062979"
"Segment A - Cash Cow","Margin %","0.36821121970386844"
"Segment A - Cash Cow","Total Customers","1447"
"Segment A - Cash Cow","Sales","972566"
"Segment A - Cash Cow","Margin","211256"
"Segment A - Cash Cow","Margin %","21.721507846254134"
"Segment A - Cash Cow","Margin %","0.21721507846254137"
"Segment A - Cash Cow","Total Customers","382"
"Segment A - Cash Cow","Sales","668170"
"Segment A - Cash Cow","Margin","181170"
"Segment A - Cash Cow","Margin %","27.11435712468384"
"Segment A - Cash Cow","Margin %","0.27114357124683836"
"Segment A - Cash Cow","Total Customers","301"
"Segment A - Cash Cow","Sales","470833"
"Segment A - Cash Cow","Margin","340307"
"Segment A - Cash Cow","Margin %","72.2776440903675"
"Segment A - Cash Cow","Margin %","0.722776440903675"
"Segment A - Cash Cow","Total Customers","548"
"Segment A - Cash Cow","Sales","252718"
"Segment A - Cash Cow","Margin","137824"
"Segment A - Cash Cow","Margin %","54.53667724499244"
"Segment A - Cash Cow","Margin %","0.5453667724499244"
"Segment A - Cash Cow","Total Customers","216"
