SubCategory,Value Column Name,Value
"Washers & Dryers","Sales","1579519"
"Washers & Dryers","Margin","196825"
"Washers & Dryers","Margin %","12.461072009896684"
"Washers & Dryers","Margin %","0.12461072009896684"
"Washers & Dryers","Total Customers","247"
"Washers & Dryers","Forecast","2227121.79"
"Washers & Dryers","Total Cost","1382694"
"Projectors & Screens","Sales","972566"
"Projectors & Screens","Margin","211256"
"Projectors & Screens","Margin %","21.721507846254134"
"Projectors & Screens","Margin %","0.21721507846254137"
"Projectors & Screens","Total Customers","382"
"Projectors & Screens","Forecast","1429672.02"
"Projectors & Screens","Total Cost","761310"
"Refrigerators","Sales","953483"
"Refrigerators","Margin","-350567"
"Refrigerators","Margin %","-36.7669900774319"
"Refrigerators","Margin %","-0.367669900774319"
"Refrigerators","Total Customers","331"
"Refrigerators","Forecast","591159.46"
"Refrigerators","Total Cost","1304050"
"Laptops","Sales","668170"
"Laptops","Margin","181170"
"Laptops","Margin %","27.11435712468384"
"Laptops","Margin %","0.27114357124683836"
"Laptops","Total Customers","301"
"Laptops","Forecast","828530.8"
"Laptops","Total Cost","487000"
"Coffee Machines","Sales","475878"
"Coffee Machines","Margin","-11149.5"
"Coffee Machines","Margin %","-2.3429324322620504"
"Coffee Machines","Margin %","-0.023429324322620505"
"Coffee Machines","Total Customers","251"
"Coffee Machines","Forecast","394978.74"
"Coffee Machines","Total Cost","487027.5"
"Lamps","Sales","470833"
"Lamps","Margin","340307"
"Lamps","Margin %","72.2776440903675"
"Lamps","Margin %","0.722776440903675"
"Lamps","Total Customers","548"
"Lamps","Forecast","583832.92"
"Lamps","Total Cost","130526"
"Water Heaters","Sales","443343"
"Water Heaters","Margin","94593"
"Water Heaters","Margin %","21.336301689662406"
"Water Heaters","Margin %","0.21336301689662407"
"Water Heaters","Total Customers","152"
"Water Heaters","Forecast","669447.93"
"Water Heaters","Total Cost","348750"
"Monitors","Sales","423791"
"Monitors","Margin","-769"
"Monitors","Margin %","-0.1814573693164791"
"Monitors","Margin %","-0.001814573693164791"
"Monitors","Total Customers","327"
"Monitors","Forecast","50854.92"
"Monitors","Total Cost","424560"
"Microwaves","Sales","319179"
"Microwaves","Margin","14301"
"Microwaves","Margin %","4.480557931442858"
"Microwaves","Margin %","0.04480557931442858"
"Microwaves","Total Customers","375"
"Microwaves","Forecast","150014.13"
"Microwaves","Total Cost","304878"
"Desktops","Sales","266374"
"Desktops","Margin","23224"
"Desktops","Margin %","8.718568629070404"
"Desktops","Margin %","0.08718568629070404"
"Desktops","Total Customers","184"
"Desktops","Forecast","55938.54"
"Desktops","Total Cost","243150"
"Air Conditioners","Sales","252718"
"Air Conditioners","Margin","137824"
"Air Conditioners","Margin %","54.53667724499244"
"Air Conditioners","Margin %","0.5453667724499244"
"Air Conditioners","Total Customers","216"
"Air Conditioners","Forecast","265353.9"
"Air Conditioners","Total Cost","114894"
"Printers, Scanners & Fax","Sales","219277"
"Printers, Scanners & Fax","Margin","592"
"Printers, Scanners & Fax","Margin %","0.26997815548370324"
"Printers, Scanners & Fax","Margin %","0.0026997815548370327"
"Printers, Scanners & Fax","Total Customers","379"
"Printers, Scanners & Fax","Forecast","471445.55"
"Printers, Scanners & Fax","Total Cost","218685"
"Computers Accessories","Sales","127806"
"Computers Accessories","Margin","-18234"
"Computers Accessories","Margin %","-14.266935824609174"
"Computers Accessories","Margin %","-0.14266935824609173"
"Computers Accessories","Total Customers","654"
"Computers Accessories","Forecast","60068.82"
"Computers Accessories","Total Cost","146040"
"Fans","Sales","83370"
"Fans","Margin","-38643"
"Fans","Margin %","-46.35120546959338"
"Fans","Margin %","-0.46351205469593376"
"Fans","Total Customers","287"
"Fans","Forecast","87538.5"
"Fans","Total Cost","122013"
